trans_date_trans_time,cc_num,category,amt,merchant,is_fraud,year,month,day
2019-01-01 17:03:45,567868110212,shopping_net,9.17,fraud_Kerluke-Abshire,0,2019,1,1
2019-01-02 13:16:51,567868110212,kids_pets,30.87,fraud_Ullrich Ltd,0,2019,1,2
2019-01-02 23:03:27,567868110212,shopping_pos,60.39,fraud_Dooley Inc,0,2019,1,2
2019-01-03 15:00:35,567868110212,personal_care,134.95,fraud_Reichel LLC,0,2019,1,3
2019-01-03 15:54:54,567868110212,shopping_pos,2.5,fraud_Torphy-Goyette,0,2019,1,3
2019-01-04 03:21:55,567868110212,misc_pos,131.29,fraud_Balistreri-Nader,0,2019,1,4
2019-01-04 19:58:17,567868110212,shopping_net,62.56,"fraud_Reichert, Shanahan and Hayes",0,2019,1,4
2019-01-05 09:09:39,567868110212,gas_transport,107.52,fraud_Huels-Nolan,0,2019,1,5
2019-01-05 09:41:11,567868110212,grocery_pos,238.54,fraud_Koepp-Parker,0,2019,1,5
2019-01-05 12:58:38,567868110212,food_dining,8.6,"fraud_Schumm, McLaughlin and Carter",0,2019,1,5
2019-01-05 20:49:23,567868110212,home,59.03,fraud_Eichmann-Kilback,0,2019,1,5
2019-01-05 21:54:48,567868110212,shopping_pos,3.81,fraud_Hudson-Grady,0,2019,1,5
2019-01-06 00:34:37,567868110212,misc_pos,14.9,fraud_Gislason Group,0,2019,1,6
2019-01-06 04:49:16,567868110212,misc_net,11.98,"fraud_Rodriguez, Yost and Jenkins",0,2019,1,6
2019-01-06 13:39:19,567868110212,home,2.44,"fraud_Hettinger, McCullough and Fay",0,2019,1,6
2019-01-06 15:31:38,567868110212,shopping_pos,163.3,fraud_Kuhn LLC,0,2019,1,6
2019-01-06 18:49:20,567868110212,entertainment,63.59,fraud_Stark-Batz,0,2019,1,6
2019-01-06 18:51:48,567868110212,shopping_net,2.13,"fraud_Heathcote, Yost and Kertzmann",0,2019,1,6
2019-01-06 23:07:27,567868110212,food_dining,13.77,"fraud_Reinger, Weissnat and Strosin",0,2019,1,6
2019-01-07 04:02:46,567868110212,grocery_pos,209.93,fraud_Cole PLC,0,2019,1,7
